tool_name,label,Length,Entropy,Special Ratio,Digit Ratio,Suspicious Density,Alpha Ratio,Upper Ratio,Whitespace Ratio,Max Token Len,URL Pattern Count
graphql_query,benign,3.912023,3.99923,0.2857143,0.020408163,0.0,0.5102041,0.0,0.18367347,0.1,0.0
graphql_query,benign,4.2341065,4.395804,0.2647059,0.0,0.0,0.60294116,0.024390243,0.13235295,0.20289855,0.0
graphql_query,benign,3.988984,4.076055,0.26415095,0.03773585,0.0,0.5283019,0.0,0.16981132,0.11111111,0.0
graphql_query,benign,4.26268,4.337853,0.2857143,0.014285714,0.0,0.55714285,0.025641026,0.14285715,0.14084508,0.0
graphql_query,benign,3.9318256,4.060686,0.28,0.04,0.0,0.5,0.0,0.18,0.09803922,0.0
graphql_query,benign,3.912023,3.99923,0.2857143,0.020408163,0.0,0.5102041,0.0,0.18367347,0.1,0.0
graphql_query,benign,3.988984,4.2035055,0.26415095,0.03773585,0.0,0.5283019,0.0,0.16981132,0.12962963,0.0
graphql_query,benign,4.3438053,4.230185,0.23684211,0.02631579,0.0,0.5394737,0.0,0.19736843,0.103896104,0.0
graphql_query,benign,3.9702919,4.146709,0.26923078,0.01923077,0.0,0.53846157,0.0,0.17307693,0.13207547,0.0
graphql_query,benign,3.3322046,3.810081,0.4074074,0.0,0.0,0.4814815,0.0,0.11111111,0.2857143,0.0
graphql_query,benign,4.276666,4.3835487,0.28169015,0.028169014,0.0,0.5492958,0.025641026,0.14084508,0.1388889,0.0
graphql_query,benign,4.406719,4.4173465,0.30864197,0.061728396,0.0,0.4814815,0.0,0.14814815,0.1097561,0.0
graphql_query,benign,4.1108737,4.256298,0.3,0.0,0.0,0.56666666,0.05882353,0.13333334,0.16393442,0.0
graphql_query,benign,3.7841897,3.695948,0.25581396,0.0,0.0,0.53488374,0.0,0.20930232,0.11363637,0.0
graphql_query,benign,4.158883,4.0718975,0.20634921,0.0,0.0,0.6031746,0.0,0.1904762,0.15625,0.0
graphql_query,benign,4.0253515,4.326103,0.25454545,0.036363635,0.0,0.54545456,0.033333335,0.16363636,0.14285715,0.0
graphql_query,benign,3.912023,3.99923,0.2857143,0.020408163,0.0,0.5102041,0.0,0.18367347,0.1,0.0
graphql_query,benign,3.9318256,4.060686,0.28,0.04,0.0,0.5,0.0,0.18,0.09803922,0.0
graphql_query,benign,4.574711,4.337653,0.30208334,0.052083332,0.0,0.46875,0.0,0.17708333,0.0927835,0.0
graphql_query,benign,4.276666,4.3835487,0.28169015,0.028169014,0.0,0.5492958,0.025641026,0.14084508,0.1388889,0.0
graphql_query,benign,4.1271343,4.284776,0.29508197,0.0,0.0,0.57377046,0.057142857,0.13114753,0.16129032,0.0
graphql_query,benign,4.5217886,4.485047,0.34065935,0.032967035,0.02173913,0.48351648,0.09090909,0.14285715,0.097826086,0.0
graphql_query,benign,3.988984,4.2035055,0.26415095,0.03773585,0.0,0.5283019,0.0,0.16981132,0.12962963,0.0
graphql_query,benign,4.0253515,4.326103,0.25454545,0.036363635,0.0,0.54545456,0.033333335,0.16363636,0.14285715,0.0
graphql_query,benign,4.0253515,4.326103,0.25454545,0.036363635,0.0,0.54545456,0.033333335,0.16363636,0.14285715,0.0
graphql_query,benign,4.356709,4.2082996,0.32467532,0.051948052,0.0,0.46753246,0.0,0.15584415,0.115384616,0.0
graphql_query,benign,4.276666,4.3835487,0.28169015,0.028169014,0.0,0.5492958,0.025641026,0.14084508,0.1388889,0.0
graphql_query,benign,4.204693,4.415257,0.3030303,0.015151516,0.0,0.530303,0.057142857,0.15151516,0.14925373,0.0
graphql_query,benign,4.0943446,4.352071,0.23728813,0.0,0.0,0.6101695,0.19444445,0.15254237,0.11666667,0.0
graphql_query,benign,3.988984,4.1137905,0.26415095,0.03773585,0.0,0.5283019,0.0,0.16981132,0.11111111,0.0
graphql_query,attack,3.9512436,4.052245,0.21568628,0.0,0.01923077,0.627451,0.03125,0.15686275,0.23076923,0.0
graphql_query,attack,4.2904596,3.9189372,0.25,0.125,0.0,0.43055555,0.0,0.19444445,0.12328767,0.0
graphql_query,attack,4.3307333,4.000532,0.45333335,0.04,0.0,0.36,0.074074075,0.14666666,0.065789476,0.0
graphql_query,attack,4.1108737,4.2269907,0.18333334,0.0,0.0,0.6666667,0.075,0.15,0.14754099,0.0
graphql_query,attack,3.9318256,4.1582427,0.22,0.0,0.0,0.64,0.0625,0.14,0.27450982,0.0
graphql_query,attack,4.204693,4.0263143,0.25757575,0.0,0.0,0.530303,0.0,0.21212122,0.08955224,0.0
graphql_query,attack,4.3820267,4.166043,0.30379745,0.0,0.0,0.5063291,0.025,0.18987341,0.075,0.0
graphql_query,attack,3.9512436,4.17185,0.21568628,0.0,0.03846154,0.627451,0.0625,0.15686275,0.21153846,0.0
graphql_query,attack,4.6821313,4.74041,0.317757,0.009345794,0.037037037,0.5233645,0.17857143,0.1495327,0.083333336,0.0
graphql_query,attack,3.637586,4.0671654,0.43243244,0.027027028,0.02631579,0.43243244,0.0,0.10810811,0.13157895,0.21276596
ldap_query,benign,4.1743875,4.5153193,0.328125,0.03125,0.0,0.578125,0.027027028,0.0625,0.10769231,0.0
ldap_query,benign,4.158883,4.4648323,0.3015873,0.0,0.0,0.6507937,0.024390243,0.04761905,0.171875,0.0
ldap_query,benign,4.189655,4.5624623,0.32307693,0.03076923,0.0,0.6,0.0,0.046153847,0.10606061,0.0
ldap_query,benign,4.248495,4.4481125,0.3043478,0.0,0.0,0.65217394,0.022222223,0.04347826,0.12857144,0.0
ldap_query,benign,4.3694477,4.6504564,0.2948718,0.025641026,0.0,0.64102566,0.0,0.03846154,0.088607594,0.0
ldap_query,benign,4.158883,4.5960174,0.33333334,0.0,0.0,0.61904764,0.025641026,0.04761905,0.109375,0.0
ldap_query,benign,4.4426513,4.578296,0.32142857,0.0,0.011764706,0.64285713,0.037037037,0.035714287,0.11764706,0.0
ldap_query,benign,4.465908,4.538151,0.3139535,0.011627907,0.011494253,0.6395349,0.0,0.034883723,0.11494253,0.0
ldap_query,benign,4.317488,4.542101,0.2972973,0.0,0.0,0.6621622,0.020408163,0.04054054,0.2,0.0
ldap_query,benign,4.3694477,4.6504564,0.2948718,0.025641026,0.0,0.64102566,0.0,0.03846154,0.088607594,0.0
ldap_query,benign,4.465908,4.538151,0.3139535,0.011627907,0.011494253,0.6395349,0.0,0.034883723,0.11494253,0.0
ldap_query,benign,4.2341065,4.5029244,0.30882353,0.0,0.0,0.63235295,0.046511628,0.05882353,0.11594203,0.0
ldap_query,benign,4.1743875,4.5153193,0.328125,0.03125,0.0,0.578125,0.027027028,0.0625,0.10769231,0.0
ldap_query,benign,4.1431346,4.5204244,0.33870968,0.0,0.0,0.61290324,0.0,0.048387095,0.11111111,0.0
ldap_query,benign,4.356709,4.5647264,0.2987013,0.012987013,0.0,0.64935064,0.0,0.038961038,0.115384616,0.0
ldap_query,benign,4.276666,4.4525146,0.29577464,0.014084507,0.0,0.64788735,0.02173913,0.04225352,0.19444445,0.0
ldap_query,benign,4.189655,4.5624623,0.32307693,0.03076923,0.0,0.6,0.0,0.046153847,0.10606061,0.0
ldap_query,benign,4.3694477,4.6504564,0.2948718,0.025641026,0.0,0.64102566,0.0,0.03846154,0.088607594,0.0
ldap_query,benign,4.2904596,4.4962654,0.29166666,0.027777778,0.0,0.6388889,0.02173913,0.041666668,0.19178082,0.0
ldap_query,benign,4.2904596,4.4684877,0.29166666,0.027777778,0.0,0.6388889,0.02173913,0.041666668,0.19178082,0.0
ldap_query,benign,4.356709,4.534526,0.2987013,0.025974026,0.0,0.6363636,0.0,0.038961038,0.08974359,0.0
ldap_query,benign,4.477337,4.5137,0.31034482,0.011494253,0.011363637,0.6436782,0.0,0.03448276,0.11363637,0.0
